Funding Source Name,Compensation,
American International Group Inc  (Jean M Leonard*),"20,626.91",
Natl Assn Of Credit Mgmt,"68,856.00",
Pacific Northwest Regional Council Of Carpenters,"356,993.08",
Act Inc,450.00,
Takeda Pharmaceuticals,"212,000.00",
"Trinity Highway Products, Llc",104.00,
Fraternal Order Of Police,"190,000.00",
Westaf (Outcomes By Levy Llc*),"39,520.00",
North I-90 Odessa Aquifer Groundwater Replacement Project,"30,000.00",
Wa Employment Lawyers Assn,"32,050.00",
Space Exploration Technologies Corp. (Spacex),"96,600.00",
Astrazeneca Pharmaceuticals Lp,"112,849.00",
Washington State Association Of Boundary Review Boards,"9,000.00",
Sno-King Water District Coalition,"127,272.00",
Innovare Strategies Nw,"10,500.00",
Motor Vehicle Software Corp,"337,500.00",
Snohomish Co,"418,666.45",
Pax Labs (Mike Hoover Public Affairs),"18,000.00",
True Blue Inc,"86,500.00",
American Academy Of Pediatrics-Wa Chapter,"108,383.45",
Central Valley School District,"14,816.67",
Baxter Healthcare Corporation C/O Multistate Associates Inc.,"28,000.00",
Sanofi Us,"174,700.25",
Assoc Students Of Eastern Wa University,600.00,
Wa Interscholastic Activities Assn,"245,000.00",
Washington State School Directors Association,"51,294.50",
State Privacy & Security Coalition,"328,529.00",
Continental Casualty Company (Cna Insurance Companies) (Gano & Assoc*),"9,707.25",
Bellevue Chamber Of Commerce,"7,000.00",
Highline Grain Llc,"185,000.00",
Wa Trust For Historic Preservation,"56,000.00",
Washington State Medical Oncology Society (Kathryn Kolan),"13,500.00",
City Of Spokane,"256,670.00",
Aerospace Futures Alliance Of Washington Ltd,"1,009,544.88",
American Dealer License Inc,"15,500.00",
Nw Dairy Assn & Darigold Inc,"288,000.00",
Wa St Grange,"150,000.00",
Applus Technologies (Thru Multisate),"30,000.00",
Valley Medical Center (Boswell Consulting*),"70,901.11",
Columbia River Pilots,"33,569.00",
Carahsoft Technology Corporation,"2,000.00",
Premera Blue Cross,"725,720.16",
King Co Council (David S Foster),"131,725.00",
Historylink,"2,000.00",
Unified Grocers,"54,000.00",
"Trilogy Integrated Resources, Llc","24,000.00",
Institute For Justice,"2,191.75",
City Of Pasco,"208,332.39",
Parametrix,"78,300.00",
"Redflex Traffic Systems, Inc.","99,500.00",
"Iii Branches Law, Pllc","50,000.00",
Civics Proficiency Institute,"12,000.00",
Northwest Resources Ii Inc,"10,000.00",
Midwives Assn Of Wa State (Amber Ulvenes),"3,750.00",
"Consolidated Bookkeeping & Management Services Inc (Public Affairs Consulting, Llc)",300.00,
American Planning Assn Wa Chapter,"120,600.00",
Par 4 Investments Llc,"20,667.00",
Tusk/Montgomery Philanthropies,"25,000.00",
Wa St Fairs Assn,"79,075.99",
Save Our Wild Salmon,"6,000.00",
98Point6 Inc. (Jean M Leonard*),"16,500.00",
Wa St Assn Of Broadcasters,"116,800.00",
Starbucks,"285,000.00",
Wa Christmas Tree Growers,"42,750.00",
"Crossfit, Inc.","223,032.42",
Northwest Agricultural Cooperative Council (Coyne Jesernig Llc),"69,000.00",
International Brotherhood Of Electrical Workers 46,"33,656.80",
Igt Global Solutions Corp,"330,000.00",
Fieldturf,"5,250.00",
Schools Insurance Assn Of Wa,"45,852.10",
University Of Washington,"806,400.00",
Wa Assn Of Sheriffs & Police Chiefs,"184,525.18",
Bellevue School District,"77,500.00",
Spokane Public Facilities Dist,"116,000.00",
Washington State Alliance Of Ymcas,"58,600.00",
Seiu 775 Benefits Group,"20,802.17",
Washington Association For Infant Mental Health,"2,450.00",
Ventures,"19,850.00",
Real Estate Valuation Advocacy Assoc,"20,000.00",
"Wa Chapter, Acep","34,500.00",
Casa Latina,50.00,
C-Tran,"222,000.00",
Reimbursement Services Llc,"25,000.00",
Newland Communities Dba Nash Cascadia Verde Llc,"283,000.00",
Aaa Washington,"1,365.80",
Broadcast Music Inc,"34,829.26",
Resource Assets Inc.,"17,000.00",
Velicahn Inc,"24,700.00",
Moneytree Inc (Thru Multistate),"35,000.07",
Natl Home Service Contract Assn (Thru Chartrand Legal Mgmt),"14,000.00",
Global Discoveries Ltd (Gano & Assoc*),"15,000.00",
Motorola Solutions Inc (Arledge Group),"24,000.00",
Washington Progress Alliance,293.71,
Blue Star Gas,"7,800.00",
"Longview Fibre Paper And Packaging, Inc. D/B/A Kapstone Kraft Paper Corporation","125,500.00",
Mcdonald'S (Mcbride Public Affairs Llc*),"67,088.02",
Intl Assn Of Machinists & Aerospace Workers Dist Lodge 751,"156,392.38",
Verified Voting,"2,500.00",
League Of Women Voters Washington (Nancy L Sapiro),"8,875.00",
"Interexchange, Inc.","5,250.00",
Irene Plenefisch (Self),250.00,
Community Residential Services Assn,"183,300.00",
Central Wa University,"42,873.98",
Costco Wholesale,"285,000.00",
Wa Home Care Assn,"44,002.00",
Growth Energy,"195,000.00",
"Northwest Innovation Works, Kalama, Llc","52,000.00",
Handy Technologies Inc (Gano & Assoc*),"6,250.00",
Cambridge Assessment International Education,173.10,
Fairwood Pet Center,"15,000.00",
Intuit,"66,000.00",
Girls Who Code,"49,000.00",
Intl Assn Of Machinists & Aerospace Workers Dist Lodge 751 (Paribello Public Affairs),"17,580.64",
"Honeywell International, Inc.","76,684.00",
Port Of Cascade Locks,"2,250.00",
Washington Business Alliance,"67,500.00",
Wa Academy Of Eye Physicians & Surgeons,"341,444.50",
Sherwood Community Services,"3,903.98",
Northwest Energy Coalition,"100,402.27",
Distilled Spirits Council Of The Us,"285,000.00",
Washington Schools Risk Management Pool (Alex Hur),"7,250.00",
4000 Property Llc,"33,000.00",
American Progressive Bag Alliance/Spi,"49,000.00",
Compass Health,"370,551.00",
Wright Runstad Assoc Limited Partnership,"171,000.00",
Disability Rights Wa,"203,840.78",
Maverick Gaming Llc (Coaxis Public Affairs ),"85,000.00",
Syngenta,"114,000.00",
"U.S. Anesthesia Partners, Inc.","259,387.00",
Northpoint Recovery Llc,"63,000.00",
Arc Of Snohomish Co,6.49,
Wa Aggregates & Concrete Assn,"301,986.50",
Prof & Tech Employees Local 17,"273,710.22",
Parent Trust For Wa Children (Johnson Arledge Strategies*),"3,000.00",
Ibm Corporation,"41,100.00",
"Assurant, Inc.","68,000.00",
Continental Casualty Company (Cna Insurance Companies),"73,500.00",
Comcast Cable Communications,"682,037.49",
Respiratory Care Society Of Wa,"5,700.00",
Environment Washington,"31,959.71",
Lkq Corporation,"15,200.00",
American Behavioral Health Services Inc,"159,190.00",
Adobe,"20,000.00",
Wa Cattlemen'S Assn,"74,517.01",
City Of Orting,"2,100.00",
Wa Mortgage Bankers Assn,"117,000.00",
"Apptio, Inc.","5,000.00",
The Gallery Glass & Wares,"24,000.00",
Wa St Council Of Fire Fighters,"517,665.07",
City Of Gig Harbor,"189,999.81",
Washington Space Partnership (Jean M Leonard*),"25,025.00",
Neste Us Inc,"146,250.00",
American Public Works Assn,"114,000.00",
"American Rivers, Inc.","3,110.00",
Paradigm Outcomes,"112,000.00",
Dynamic Collectors Inc,"4,240.00",
"Consumer Reports, Inc","3,814.38",
Eastern Wa Quality Schools Coalition,"88,830.17",
Natl Water Company,"11,000.00",
Violet Power,"117,000.00",
Consumer Fireworks Safety Assn,"563,500.00",
Motor Vehicle Ancillary Products Assn,"12,500.00",
Ua Plumbers And Steamfitters Local 598,"197,740.99",
Hunters Heritage Council,"30,000.00",
Capital Benefit Services,"230,850.00",
Uber Technologies Inc (Gano & Assoc*),"8,500.00",
Wa Council For Behavioral Health,"204,000.00",
Wa Music Educators Assn,"1,320.00",
Climate Solutions,"364,268.64",
Childrens Alliance,"308,783.89",
Port Of Everett,"202,000.00",
Wa Pawnbrokers Assn,"78,900.00",
King County Juvenile Detention Guild,"9,750.00",
Live Nation Northwest,"63,000.00",
Pacific Nw Fertility On Behalf Of Washington State Building Families Coalition,"1,500.00",
Wa Public Interest Research Group,"22,739.65",
"Okta, Inc.","5,000.00",
Escrow Assn Of Wa,"102,600.00",
Wa Massage Owners Assn,"162,400.00",
Northwest Farm Credit Services,"285,000.00",
Wa Refuse & Recycling Assn (Christophersen Inc*),"3,375.00",
Renewable Hydrogen Alliance,"68,000.00",
Wa Cannabusiness Assn (Christophersen Inc*),"24,473.46",
Keybank (Gano & Assoc*),"10,935.58",
Puget Sound Keeper Alliance,"113,271.32",
Spokane County,"261,950.00",
Wa Public Ports Assn,"476,233.98",
Unified Grocers (Pierce Consulting Svcs Llc*),"1,814.76",
Jakes Fireworks,"46,666.68",
Benton County Commissioners,"120,500.00",
The Soccer Club Of Tacoma (Jeffrey S Gombosky),"10,000.00",
Wa Defense Trial Lawyers,"158,583.20",
Union Pacific Railroad Co,"301,795.36",
City Of Marysville,"303,250.00",
Partners Group Ltd,"81,750.00",
Inlandboatmen'S Union,"85,500.00",
"Patrick Dunn & Associates, Ltd.","1,500.00",
Forterra,"249,755.97",
Opportunity Solutions Project (Gordon Thomas Honeywell Gov Affairs*),"12,250.00",
Solid Ground,"22,975.20",
Wa Amusement & Music Operators Assn,"10,000.00",
Us Healthworks,"3,000.00",
Washington Sungrowers Industry Association,"37,000.00",
United Way Of King Co,"209,531.28",
Darigold,"54,000.00",
City Of Blaine,"103,000.00",
Pacific Seafood,"63,000.00",
Equal Justice Coalition,"329,399.94",
Columbia Rural Electric Assn,"114,000.00",
Ciox Health Llc (Thru Multistate) (Duncan & Associates*),"7,000.00",
Bethel School District,"255,750.00",
Surplus Line Assn Of Wa (Thomas M Parker),"4,000.00",
Wa Assn Of Conservation Districts,"69,388.30",
Iron Workers Dist Cncl Of The Pnw,"101,000.00",
Imagine Childrens Museum,"18,000.00",
American Insurance Assn,"164,106.16",
Certified Electrical Workers Of Wa,"451,052.60",
Schindler Elevator Corp,"163,100.00",
"Silfab Solar Wa, Inc","71,000.00",
Foundation To Support Animal Protection,312.00,
City Of Algona,"26,000.00",
Washington Library Association (Duncan & Associates*),"9,268.00",
Faith Action Network,"21,028.87",
Institute For Family Development,"12,899.38",
"Securus Technologies, Inc. (Thru National Strategies)","42,600.00",
Vancouver Clinic,"116,500.00",
Craft Cannabis Coalition,"36,000.00",
Pierce Co Security Inc,"99,750.00",
Verizon,"519,000.00",
Cascade Natural Gas,"315,500.00",
Receivables Management Association International,"40,000.00",
Washington Court Reporters Association,"13,000.00",
Thurston County,"117,000.00",
League Of Women Voters Washington,"15,500.00",
"Magellan Health, Inc.","85,000.00",
Facebook,"284,837.40",
School Nurses Organization Of Wa,"22,800.00",
Assn For Accessable Medicines ,"4,250.00",
Allied Daily Newspapers Of Wa,"232,167.00",
City Of Medina,"183,000.00",
Thurston County Chamber Of Commerce,"21,000.00",
March Of Dimes,"32,664.00",
Wa St Grange (Gallatin Public Affairs*),"7,200.00",
Hmshost,"36,000.00",
Wa St Auto Dealers Assn Inc (Civic Group*),"1,300.00",
"Natl Assn Of Credit Mgmt (Public Affairs Consulting, Llc)","4,882.50",
Consumer Speciality Products Assn,"44,499.99",
City Of Arlington,"140,500.00",
Washington School-Based Health Alliance,"10,080.00",
Jefferson Co Public Works,"63,000.00",
The Graduate And Professional Student Association Of Washington State University,"3,264.00",
Ebay Inc,"313,500.00",
Teamchild,"122,840.79",
Prepared Response,"104,625.00",
Pierce Co Govt Relations,"450,866.67",
Campaign For Tobacco Free Kids,"77,700.00",
Wa St Coalition  Against Domestic Violence,"236,276.11",
Wa Assn For Community Health,"134,720.85",
Dji Technology Inc (Jean M Leonard*),"9,573.91",
The Savory Butcher Llc (Mcbride Public Affairs Llc*),"5,000.00",
Dart Container Corp (Through Multistate),"177,500.00",
Wa Assn For Children & Families,"89,613.20",
Ford Motor Co,"57,000.00",
City Of Sequim,"80,000.00",
Wa Bail Bond Coalition,"24,000.00",
Port Blakely Tree Farms,"115,200.00",
Inland Empire Paper,"182,500.00",
Wa St Dist & Municipal Court Judges Assn,"238,500.00",
Global Mobile,"12,000.00",
Treehouse,"139,977.22",
Resolution Wa,"42,750.00",
Colville Confederated Tribes,"375,000.00",
Port Of Kalama,"142,500.00",
Outdoors For All,"26,000.00",
Abbvie Inc,"262,832.00",
Household And Commercial Products Assn,"30,000.00",
Rock Central,796.15,
"Jinro America, Inc.","42,000.00",
Poet Llc,"50,000.00",
Promontory Interfinancial Network Llc,"4,000.00",
Procter & Gamble Co,"187,999.97",
City Of Poulsbo,"98,750.00",
"Carmax Auto Superstores, Inc","68,000.00",
Arthritis Foundation,"261,375.59",
United Food & Comm Wrkrs # 21,"638,521.59",
Partnership For Learning,"56,000.00",
Ticket Network,"16,500.00",
Northwest Agriculture Business Center (Melissa M Gombosky),"4,000.00",
Justice For Girls Coalition Of Washington State (Nancy L Sapiro),"15,000.00",
"Enterprise Community Partners, Inc.","12,000.00",
Cnsi (Pierce Consulting Svcs Llc*),"8,345.15",
United Ways Of The Pacific Northwest,"8,000.00",
Amazon.Com,"354,560.26",
Central Puget Sound Regional Transit Authority / Sound Transit,"414,000.00",
All Aboard Washington,"15,700.00",
Wa Forest Protection Assn,"353,291.22",
Zenefits,"68,500.00",
Ssmcp,"129,584.04",
Architects & Engineers Legis Council,"396,910.16",
Wa St Motorsport Dealers Assn,"92,000.00",
"Firstcash, Inc. Dba Cash America","255,000.00",
City Of Sammamish,"99,733.33",
Snohomish Education Association,"1,933.80",
Wa Cities Insurance Authority,"53,991.36",
Wa St Nursery & Landscape Assn,"73,625.15",
American Rental Assn (Thru Multistate) (Mcbride Public Affairs Llc*),"12,826.00",
Detente Management,"9,000.00",
"Cultural Care, Inc. ","28,000.00",
Centurylink,"596,471.94",
Stillaguamish Tribe Of Indians,"169,250.00",
Professional Insurance Agents Assn,"98,000.00",
Bristol-Myers Squibb Co (Pierce Consulting Svcs Llc*),"5,102.48",
Blue Origin Llc,"117,500.00",
Multicare Health System,"359,500.00",
Assn Of Alcoholism & Addictions Programs,"82,499.99",
Assn Of Wa School Principals,"184,508.29",
Biotechnology Innovation Organization,"375,000.00",
Getinsured,"18,483.85",
Northwest Alliance For Psychoanalytic Study,"4,550.00",
Mountains To Sound Greenway Trust,"16,830.00",
Wa Rural Co Insurance Program,"8,242.35",
Merscorp Inc (Thru Multistate),"93,500.00",
Lifelong Aids Alliance,"20,500.00",
Wa St Hvac Industry Assn,"85,000.00",
Solar Installers Of Wa (Boswell Consulting*),"9,382.79",
Wa Fire Commissioners Assn,"378,811.22",
Sightline Institute (George Cheung),"3,100.00",
"Transparentbusiness, Inc.","3,166.67",
Brennan Center For Justice,"3,123.80",
"Govt Bldg Owners & Lessors Assn (Public Affairs Consulting, Llc)","2,643.75",
Wa Forest Protection Assn (Pierce Consulting Svcs Llc*),"10,052.54",
Forth,"44,387.50",
Superior Court Judges Assn,"472,449.90",
Wa St Chiropractic Assn,"377,000.00",
Wa Tourism Alliance,"303,031.25",
Transportation Choices Coalition,"134,958.03",
Start Early,"1,250.00",
Children'S Advocacy Centers Of Wa,"2,917.00",
Symetra Life Insurance Company ,"12,750.03",
Common Sense Media,"2,641.36",
Apace,"3,500.00",
Nw Environmental Business Council,"25,900.00",
Molina Healthcare Of Wa Inc,"429,000.00",
Council Of Metropolitan Police & Sheriffs,"152,075.00",
Justice Action Network (Christophersen Inc*),"1,454.52",
Axiall Longview,"84,000.00",
Puget Sound Dispatch,"1,000.00",
Child Usadvocacy,"6,000.00",
Washington Mortgage Bankers Association,"22,500.00",
Marine View Ventures,"200,150.00",
City Of Yakima (James P Justin),"23,625.00",
Museum Of History & Industry,"50,000.00",
Yoga Alliance (Insight Strategic Partners Llc),"56,250.00",
Unified Grocers (Rob Makin Consulting*),"30,013.29",
Port Of Centralia,"187,500.00",
Wa Independent Telecommunications Assn,"440,590.00",
Port Of Skagit,"134,000.00",
Action For Rhc'S,"36,000.00",
Wa Retail Assn,"1,200,939.84",
American Medical Response,"234,000.00",
Columbia River Steamship Operators Assn,"96,689.86",
Seattle Arena Company,"24,000.00",
City Of Tumwater,"80,000.00",
Shire,"18,000.00",
Fair Work Center,"2,790.20",
Lake Union Ferry Company,"3,000.00",
King Co Solid Waste Division,"184,000.00",
Associated Students Of University Of Wa Tacoma,"6,314.00",
Life Center Northwest,"49,000.00",
Wa Mortgage Bankers Assn (Pierce Consulting Svcs Llc*),"1,500.00",
American Society For The Prevention Of Cruelty To Animals,"79,500.00",
"Safelite Group, Inc.","42,758.62",
Assn Of Wa Spirits & Wine Distributors (Christophersen Inc*),"16,004.31",
Wa Trucking Assn,"150,000.21",
Graduate & Prof Student Senate/U Of W,"47,635.10",
Aarp Wa St Office (Grist Public Affairs Llc),"1,035.71",
Snohomish Co Public Utility Dist #1,"216,000.00",
Wa Autism Alliance & Advocacy,211.85,
City Of Cheney (Jennifer Ziegler),"22,000.00",
Aetna,"388,433.29",
Jewish Federation Of Greater Seattle,"322,168.00",
"Northwest Fiber, Llc","15,333.00",
Master Bldrs Assn Of King & Sno Counties,"569,858.40",
"Delivery Express, Inc.","292,500.00",
New Suncadia Llc,"52,000.00",
H2Vtech Llc,"60,000.00",
Kittitas Reclamation District,"65,250.00",
National Football League C/O Multistate Associates Inc.,"74,500.00",
Caltex Protective Coatings,"6,000.00",
Lakewood Water Dist,"49,000.00",
Wa Hospitality Assn,"1,036,123.63",
Legal Voice,"85,623.93",
Washington Liquor Store Association,"18,000.00",
Cannabis Alliance,"39,800.00",
National Association Of Professional Employer Organizations,"70,000.00",
Breakthrough Inc.,"66,000.00",
City Of Longview,"167,810.00",
Waste Management Inc (D Michener & Co Inc*),"17,875.00",
Qlaw Foundation Of Washington,670.00,
Bio Energy Wa / Industrial Power Generating Co,"13,750.00",
National Guard Assoc Of Wa (Advocates Inc*),"17,500.14",
American Heart Assn,"70,692.50",
Consumer Technology Assn (Through Multistate),"189,998.68",
Healthcare Distribution Alliance,"5,467.34",
"Wa St Self Storage Assn (Public Affairs Consulting, Llc)","5,758.35",
Associated Students Of The University Of Wa Bothell,"3,060.00",
Rowley Properties Inc,"213,000.00",
Port Of Moses Lake,"173,500.00",
Merlin Advocates Llc* (Self),"1,298.00",
City Of Kennewick (Mcbride Public Affairs Llc*),"100,132.00",
"Motion Picture Association, Inc.","27,500.00",
Merck Sharp & Dohme Corp & Affiliates,"350,004.67",
Wa Alliance Of Boys & Girls Club (Boswell Consulting*),872.75,
City Of Omak,"76,500.00",
Quaker Voice On Washington Public Policy,"32,754.00",
American Congress Of Obstetricians And Gynecologists,"62,500.00",
Sanitary Service Co,"72,500.00",
Wa Wine Institute,"168,000.00",
Seadrunar,"95,500.00",
College Success Foundation (Pierce Consulting Svcs Llc*),"3,012.30",
Wa St Veterinary Medical Assn,"280,333.65",
Pierce Co Alliance,"158,500.00",
King Co Council,"312,450.00",
Ochin Inc.,"95,374.99",
Life Flight Network,"69,000.00",
Wa St Hospital Assn,"1,454,537.66",
Parents Empowered And Communities Enhanced ,330.93,
Cascade Uniserv Council,"2,617.61",
Wa Ambulatory Surgery Center Assn,"206,666.53",
Center For Sustainable Infrastructure,"5,146.65",
Kittitas Co Board Of Commissioners,"80,000.00",
"Posabit, Inc","49,500.00",
Wellspring Family Services,"61,850.00",
American College Emergency Physicians Wa Chapter,"49,500.00",
Pacific Northwest Hardware & Implement Assn,"15,000.00",
City Of Puyallup,"190,659.68",
Center For Environmental Law & Policy,"57,670.00",
King Co Corrections Guild,"110,000.00",
Metropolitan King Co Council,"301,433.30",
Weidner Property Management,"12,000.00",
Microsoft Corp,"917,727.26",
Natl Utility Contractors Assn Wa Chapter,"216,000.00",
Producers Alliance Nw,"25,500.00",
Wa Airport Management Assn,"29,600.00",
Ups,"1,317.05",
Cascadia Law Group (Self),412.50,
Tesla,"129,750.00",
Starfire Sports,"36,000.00",
Brightspring Health Services (Thru Multistate Assoc Inc),"25,000.00",
Muckleshoot Indian Tribe,"945,319.20",
Port Madison Enterprises An Agency Of The Suquamish Tribe,"266,000.00",
Wa Assn Of Route Operators (Melanie Stewart & Assoc Llc*),"2,700.00",
Northwest Housing Association Pac,"3,000.00",
Lamar Advertising,"121,500.00",
"Americas Styrenics, Llc","24,000.00",
Wa Cattle Feeders Assn,"105,000.00",
Pacific Northwest Farmers Cooperative Inc,"112,500.00",
Coalition For Cannabis Standards & Ethics,"1,250.00",
Port Gamble S'Klallam Tribe,"331,249.80",
"Cowlitz Tribal Gaming Authority, D/B/A Ilani","102,258.00",
Discover Financial Services,761.60,
City Of Renton,"504,600.00",
"Waste Management Of Washington, Inc.","165,555.00",
Washington State Opportunity Scholarship (Pierce Consulting Svcs Llc*),"10,796.06",
Natl Home Service Contract Assn,"10,000.00",
Waste Management Inc,"152,100.00",
Monsanto,"157,643.19",
Sas Institute Inc,"24,000.00",
Avista Corp,"1,271,923.97",
1-800 Contacts,"202,164.25",
Retail By Champion,"40,000.00",
Swedish Match North America Llc,"68,250.00",
Eastern Wa St Historical Society,"159,000.00",
Peninsula Light Co (James G Rowland),"2,000.00",
Educational Service District 105,"118,333.33",
City Of Redmond,"299,760.00",
Woodinville Whiskey,"4,000.00",
Stevens Co Commission,"21,585.00",
Wa Assn For Behavior Analysis,"31,000.00",
"Bluegreen Alliance, Inc.","2,080.50",
Skagit Pud,"21,000.00",
Ditch Maintenance Services,"1,500.00",
City Of Port Orchard,"207,846.66",
Spokane Guilds' School & Neuromuscular Center,700.00,
Wa St Ground Water Assn,"151,700.00",
Williams Co,"285,000.00",
Multi-Service Center Long Term Care Ombudsman Program,"55,774.55",
American Multi-Cinema Inc,"174,000.00",
Assoc Students Of Western Wa University,"15,109.12",
Consumer Safety Technology Llc,"20,000.00",
Family Wineries Of Wa St,"23,749.62",
Wa Potato & Onion Assn,"77,100.00",
Latino Community Fund Of Washington State,"97,512.00",
Port Of Everett (Len Mccomb),"92,000.00",
Nippon Paper Industries Usa,"103,180.00",
United Health Group,"66,000.00",
Schools Out Wa,"154,988.51",
Seattle Children'S Hospital (Duncan & Associates*),"37,000.00",
Black Alliance Of Thurston Co,"4,500.00",
Advanced Medical Technology Assn,"18,000.00",
Synergy Brands Wa,"21,000.00",
Kaiser Foundation Health Plan Of Washington (Chris Marr),"52,500.00",
Working Wa,"7,703.42",
Affordable Communities Coalition,"69,000.00",
Mallinckrodt Pharmaceuticals,"100,000.00",
Western Wood Preservers Institute,"99,725.00",
City Of Lakewood,"270,412.38",
Fivepoint Capital Management,"10,000.00",
Wa Brewers Guild,"139,089.09",
King Co Flood Control Dist,"74,700.00",
Apple Inc,"100,055.90",
Retired Firefighters Of Wa,"30,816.00",
"Wa Apartment Assn (Public Affairs Consulting, Llc)","8,343.75",
Wa Stem Center,"158,656.55",
Brightleaf Development Llc,"51,000.00",
"Bio-Tech Medical Software, Inc.","45,000.00",
Cascade Bicycle Club,400.00,
Wa Multi-Family Housing Assn (H2 Government Relations*),"15,750.00",
"Copart, Inc.","56,000.00",
Cerner Corporation,"231,250.00",
Sentry Insurance A Mutual Company,"13,458.12",
Socati Corp. (Christophersen Inc*),"4,252.00",
Artizen Group Llc,"44,000.00",
Expedia Inc (Gano & Assoc*),"14,800.00",
Opeiu Local 8,"10,007.68",
Wa St Council Of Police & Sheriffs,"306,238.00",
Wa Assn Of Route Operators,"42,000.00",
City Of Yelm,"49,000.00",
Portland Vancouver Junction Railroad,"174,000.00",
Klickitat County Pud,"104,000.00",
Pacific Dental Services,"342,000.00",
Kalkokmey Enterprises,"84,000.00",
"Getaround, Inc.","29,166.65",
"Mclane Company, Inc.","48,000.00",
Opengov Inc,"6,000.00",
Group Health Cooperative (Chris Marr),"94,500.00",
Ash Grove Cement Co,"184,800.00",
Futurewise,"204,757.67",
"Citigroup Washington, Inc.","79,999.92",
Stericycle Inc,"86,860.77",
Crown Castle And Affiliates  (Jean M Leonard*),"4,836.64",
Consumer Healthcare Products Assn,"224,000.00",
Oakpointe Land Covington Llc,"88,000.00",
Aflac,"35,000.00",
Buchholz Farms,"364,000.00",
Intoximeters Inc,"68,700.00",
Wa Environmental Council,"234,696.33",
Squaxin Island Tribe,"241,750.00",
Teamsters Local Union 760,"1,554.00",
Center For Children & Youth Justice,"2,612.43",
Gilead Sciences Inc,"263,000.00",
Aauw Of Washington State (Pam Crone Legislative Consulting Svcs*),"9,440.39",
Natl Biodiesel Board,"75,300.00",
Plumbing-Heating-Cooling Contractors Of Washington,"67,110.32",
Eastern Wa Gateway Railroad Co,"27,000.00",
"Pacific Watercraft Group, Inc.","2,000.00",
Swinomish Indian Tribal Community,"422,499.96",
"General Cigar Co., Inc.","2,250.00",
Allstate Insurance Co,"244,500.00",
Jensen Motor Boat Corporation,"10,000.00",
Center For Democracy & Technology,"1,829.63",
"Airbnb, Inc.","36,000.00",
Molina Healthcare Inc,"94,725.00",
Aft Washington,"162,305.08",
Noanet,"304,500.00",
Batelle,"221,400.00",
Human Life Of Washington,"12,450.00",
Metlife,"124,999.86",
Westrock,"252,150.00",
Western Wa Golf Course Superintendents Assn,"59,670.00",
Pediatrix Medical Group,"260,000.00",
Sierra Pacific Industries,"114,860.00",
Alliance For Gun Responsibility,"554,864.10",
Pediatrix Medical Group (Christophersen Inc*),"23,034.31",
